,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-06-27,19721.204916954423,19991.966152486304,19668.625231221908,19686.040644963043,19786.401426160333,19427.89623290456,20044.54583821882,19582.1063284422
2025-06-28,19769.618199118173,19492.48262054951,19620.6915130683,19704.488798217186,19325.194159440653,19335.078371899715,19632.917518004306,19468.412507117268
2025-06-29,47914.2704630763,49368.27419210959,47754.39884816716,47880.62919531279,49046.36633286851,47388.27772006134,49519.03025645225,47389.65733569431
2025-06-30,46704.85050975855,47377.68019054803,46844.14649463374,46633.91918294338,47624.21400783994,46992.96860848701,47311.15365267365,46796.270547211556
2025-07-01,53756.344792813106,54218.475747085686,53388.735358984115,53870.2488144285,54731.01243243167,53620.653644070146,54284.28065221496,54048.07207570435
2025-07-02,53339.98960207617,49829.778658601914,50592.05422482618,53553.296864373595,51431.0081089446,51005.78096529806,49200.819789174995,53807.71914374958
2025-07-03,55504.965029595114,54816.949458535615,54906.12683316535,55805.18525331121,55209.47643908225,55216.338100765504,54800.00655716888,56180.84927954604
2025-07-04,25943.563949297488,27571.75387723782,26035.080832003863,26092.729597192356,28346.940246211143,26560.87917128497,27589.891039789287,26416.293284480987
2025-07-05,26033.917265240467,26654.107397624368,26007.312983686086,25981.80504058945,26766.400241690175,25842.73260721878,26590.43427145017,25834.921749558365
2025-07-06,57713.35448685037,56865.63869583047,56923.67327455416,57654.02175626485,58210.16458758401,57438.73335986677,56968.14182830856,57233.88366785583
2025-07-07,51042.116092696524,50281.53964938258,51126.42854267235,51176.181741654975,51058.32101761148,51915.06640501881,50672.66132625138,51627.842979420595
2025-07-08,54660.22474991279,52917.25624122203,53047.90512737097,54708.30043266532,53508.57642419674,53668.197157187395,54417.44383495839,55042.536868997224
2025-07-09,52811.673158409365,52265.43647859744,52166.1277138943,52746.8645336535,51963.451143298254,51721.00802109609,52908.58461242598,52488.26661840029
2025-07-10,52912.68972220904,51768.91780476369,51992.77599431648,52951.10836657104,51156.17833669022,51408.09785082871,52661.08553448462,52942.44388449504
2025-07-11,25412.004491599073,25751.535705880167,25415.230006774047,25396.498988696807,25590.054869364372,25404.0520740323,25892.409661615617,25503.816710578638
2025-07-12,27970.348220990825,27990.39918533202,27878.077939781448,27920.140521369125,27813.958398941297,27651.429453769033,28082.66946654139,28051.451071221156
2025-07-13,53354.707301332484,52776.666454975384,52738.12373175095,53321.00897136303,52283.86437316054,52268.89502857899,52694.170428252306,53039.3184099836
2025-07-14,49451.70763701152,51582.551753112035,50021.6114562615,49478.75481687976,52048.37301543958,50301.02809715716,50886.89567808849,49198.29700564622
2025-07-15,57126.740569530026,58252.78146288167,56862.42728262459,57000.651090837055,57391.000711111425,55946.74746904117,58538.69299808966,57153.94997338432
2025-07-16,49880.23693532937,50132.5908401042,49823.53999640472,49865.42315168465,50176.441314348725,49806.95166431885,50178.54352175876,49550.61369655226
2025-07-17,51552.57276326605,51972.67575589758,51512.4328858273,51556.31450974056,51914.638366318606,51309.09875490305,51958.86735163933,51626.35091953308
2025-07-18,26419.154319898884,26541.497077963766,26220.965811661612,26473.11147293244,25832.081949456213,25561.637362582806,26739.685586201038,26564.515661007477
2025-07-19,25338.16284280061,25754.32780885591,25329.041863360486,25356.208458508303,25768.79422240483,25362.627192577052,25763.68175982785,25382.309783347395
2025-07-20,49081.86192173178,50544.63510624679,49110.79280415955,49026.09937133641,50332.86315757122,49156.68186718947,50371.36405808402,48777.359572613525
2025-07-21,52147.16873147446,52155.17385785288,51749.724999573555,52110.57539957633,52911.584072089914,52226.10558254295,52544.50881436412,52115.42527087335
