日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-09-28,0.8,0.2,0.0,0.4,0.2,0.4,0.7733333333333334,0.22666666666666666,0.0,0.32000000000000006,0.28,0.4
2025-09-29,0.8,0.2,0.0,0.0,0.6,0.4,0.7733333333333333,0.22666666666666668,0.0,0.32000000000000006,0.28,0.4
2025-09-30,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333334,0.22666666666666668,0.0,0.3333333333333333,0.26666666666666666,0.4
2025-10-01,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333333,0.22666666666666666,0.0,0.3466666666666667,0.25333333333333335,0.4
2025-10-02,0.8,0.2,0.0,0.2,0.4,0.4,0.7733333333333334,0.22666666666666668,0.0,0.36000000000000004,0.2533333333333333,0.38666666666666666
2025-10-03,0.8,0.2,0.0,0.4,0.2,0.4,0.7733333333333333,0.22666666666666666,0.0,0.36000000000000004,0.26666666666666666,0.37333333333333335
2025-10-04,0.8,0.2,0.0,0.4,0.2,0.4,0.7733333333333333,0.22666666666666666,0.0,0.36000000000000004,0.28,0.36000000000000004
2025-10-05,0.8,0.2,0.0,0.4,0.2,0.4,0.7600000000000001,0.24000000000000005,0.0,0.3733333333333333,0.28,0.3466666666666667
2025-10-06,0.8,0.2,0.0,0.2,0.4,0.4,0.7466666666666667,0.25333333333333335,0.0,0.37333333333333335,0.29333333333333333,0.33333333333333337
2025-10-07,0.8,0.2,0.0,0.4,0.2,0.4,0.7333333333333333,0.26666666666666666,0.0,0.4,0.28,0.32000000000000006
2025-10-08,0.8,0.2,0.0,0.4,0.2,0.4,0.7200000000000001,0.28,0.0,0.41333333333333333,0.28,0.30666666666666664
2025-10-09,0.8,0.2,0.0,0.6,0.2,0.2,0.7066666666666667,0.29333333333333333,0.0,0.44,0.25333333333333335,0.3066666666666667
2025-10-10,0.6,0.4,0.0,0.6,0.2,0.2,0.6933333333333332,0.30666666666666664,0.0,0.4666666666666667,0.22666666666666668,0.3066666666666667
2025-10-11,0.6,0.4,0.0,0.6,0.2,0.2,0.68,0.32,0.0,0.48000000000000004,0.21333333333333335,0.3066666666666667
2025-10-12,0.6,0.4,0.0,0.6,0.2,0.2,0.6666666666666666,0.33333333333333337,0.0,0.49333333333333335,0.21333333333333335,0.29333333333333333
2025-10-13,0.6,0.4,0.0,0.4,0.4,0.2,0.6533333333333332,0.3466666666666667,0.0,0.52,0.2,0.28
2025-10-14,0.6,0.4,0.0,0.4,0.4,0.2,0.64,0.36000000000000004,0.0,0.5733333333333334,0.17333333333333337,0.25333333333333335
2025-10-15,0.6,0.4,0.0,0.4,0.4,0.2,0.6266666666666666,0.37333333333333335,0.0,0.6133333333333333,0.16000000000000003,0.22666666666666668
2025-10-16,0.6,0.4,0.0,0.6,0.0,0.4,0.6133333333333334,0.38666666666666666,0.0,0.6533333333333334,0.14666666666666667,0.20000000000000004
2025-10-17,0.6,0.4,0.0,0.6,0.0,0.4,0.6,0.4,0.0,0.6799999999999999,0.13333333333333333,0.18666666666666668
